,precision,recall,f1-score,support
0,0.35,0.34146341463414637,0.34567901234567905,41.0
1,0.1896551724137931,0.2391304347826087,0.21153846153846154,46.0
2,0.75,0.4,0.5217391304347827,30.0
3,0.8148148148148148,0.5116279069767442,0.6285714285714286,43.0
4,0.5789473684210527,0.39285714285714285,0.46808510638297873,28.0
5,0.5142857142857142,0.5,0.5070422535211268,36.0
6,0.3592233009708738,0.8043478260869565,0.49664429530201337,46.0
7,0.8888888888888888,0.4,0.5517241379310346,40.0
8,0.41025641025641024,0.36363636363636365,0.3855421686746988,44.0
9,0.43243243243243246,0.43243243243243246,0.43243243243243246,37.0
10,0.717948717948718,0.5714285714285714,0.6363636363636365,49.0
11,0.6666666666666666,0.5853658536585366,0.6233766233766234,41.0
12,0.3,0.23076923076923078,0.2608695652173913,26.0
13,0.45454545454545453,0.40540540540540543,0.42857142857142855,37.0
14,0.6666666666666666,0.23809523809523808,0.3508771929824562,42.0
15,0.4262295081967213,0.5531914893617021,0.48148148148148145,47.0
16,0.52,0.6046511627906976,0.5591397849462365,43.0
17,0.22857142857142856,0.45714285714285713,0.30476190476190473,35.0
18,0.2608695652173913,0.3333333333333333,0.2926829268292683,18.0
19,0.2727272727272727,0.14285714285714285,0.18749999999999997,21.0
accuracy,0.444,0.444,0.444,0.444
macro avg,0.490136469151215,0.4253867903124555,0.43373114858325323,750.0
weighted avg,0.503218414089438,0.444,0.44864622644945457,750.0
