,precision,recall,f1-score,support
0,0.7741935483870968,0.8888888888888888,0.8275862068965517,27.0
1,0.7837837837837838,0.8285714285714286,0.8055555555555555,35.0
2,0.6976744186046512,0.7317073170731707,0.7142857142857143,41.0
3,0.8108108108108109,0.6818181818181818,0.7407407407407407,44.0
4,0.9,0.8823529411764706,0.8910891089108911,51.0
5,0.71875,0.8518518518518519,0.7796610169491525,27.0
6,0.8163265306122449,0.7547169811320755,0.7843137254901962,53.0
7,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
8,0.7916666666666666,0.8636363636363636,0.8260869565217391,22.0
9,0.925,0.8043478260869565,0.8604651162790697,46.0
10,0.8163265306122449,0.9523809523809523,0.8791208791208791,42.0
11,0.9302325581395349,0.9090909090909091,0.9195402298850575,44.0
12,0.8055555555555556,0.7837837837837838,0.7945205479452055,37.0
13,0.9142857142857143,0.9142857142857143,0.9142857142857143,35.0
14,0.9428571428571428,1.0,0.9705882352941176,33.0
15,0.8,1.0,0.888888888888889,48.0
16,0.875,0.9333333333333333,0.9032258064516129,30.0
17,0.95,0.9743589743589743,0.9620253164556962,39.0
18,0.8285714285714286,0.8055555555555556,0.8169014084507044,36.0
19,0.8333333333333334,0.3333333333333333,0.47619047619047616,30.0
accuracy,0.8426666666666667,0.8426666666666667,0.8426666666666667,0.8426666666666667
macro avg,0.842385067777677,0.8413673834845639,0.8344202488965647,750.0
weighted avg,0.8450914232116433,0.8426666666666667,0.8373653587106153,750.0
