,precision,recall,f1-score,support
0,0.8108108108108109,0.8108108108108109,0.8108108108108109,37.0
1,0.5079365079365079,0.6666666666666666,0.5765765765765767,48.0
2,0.7575757575757576,0.6944444444444444,0.7246376811594203,36.0
3,0.7058823529411765,0.6,0.6486486486486486,40.0
4,0.8,0.6666666666666666,0.7272727272727272,42.0
5,0.6896551724137931,0.8695652173913043,0.7692307692307693,23.0
6,0.575,0.6764705882352942,0.6216216216216216,34.0
7,0.7111111111111111,0.6808510638297872,0.6956521739130436,47.0
8,0.775,0.7380952380952381,0.7560975609756099,42.0
9,0.6981132075471698,0.7708333333333334,0.7326732673267327,48.0
10,0.9333333333333333,0.8235294117647058,0.8749999999999999,34.0
11,0.9743589743589743,0.7755102040816326,0.8636363636363635,49.0
12,0.5142857142857142,0.6428571428571429,0.5714285714285714,28.0
13,0.6904761904761905,0.725,0.7073170731707318,40.0
14,0.8611111111111112,0.8378378378378378,0.8493150684931507,37.0
15,0.6458333333333334,0.8378378378378378,0.7294117647058824,37.0
16,0.6739130434782609,0.8157894736842105,0.7380952380952381,38.0
17,0.8823529411764706,0.75,0.8108108108108107,40.0
18,0.6551724137931034,0.76,0.7037037037037037,25.0
19,1.0,0.08,0.14814814814814814,25.0
accuracy,0.7186666666666667,0.7186666666666667,0.7186666666666667,0.7186666666666667
macro avg,0.743096098784141,0.7111382968768457,0.7030044289864281,750.0
weighted avg,0.7438903169410744,0.7186666666666667,0.713668863243404,750.0
