,precision,recall,f1-score,support
0,0.8536585365853658,0.8974358974358975,0.875,39.0
1,0.7317073170731707,0.8571428571428571,0.7894736842105263,35.0
2,0.6666666666666666,0.7,0.6829268292682926,40.0
3,0.7297297297297297,0.6428571428571429,0.6835443037974683,42.0
4,0.8372093023255814,0.8372093023255814,0.8372093023255814,43.0
5,0.8181818181818182,0.84375,0.8307692307692308,32.0
6,0.7560975609756098,0.7380952380952381,0.746987951807229,42.0
7,0.8108108108108109,0.8108108108108109,0.8108108108108109,37.0
8,0.8292682926829268,0.918918918918919,0.8717948717948718,37.0
9,0.8809523809523809,0.9487179487179487,0.9135802469135802,39.0
10,0.8484848484848485,0.9655172413793104,0.9032258064516129,29.0
11,1.0,0.9565217391304348,0.9777777777777777,46.0
12,0.7391304347826086,0.6296296296296297,0.68,27.0
13,0.7727272727272727,0.8717948717948718,0.8192771084337349,39.0
14,0.9722222222222222,0.875,0.9210526315789473,40.0
15,0.8421052631578947,0.9411764705882353,0.8888888888888888,51.0
16,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
17,1.0,0.9743589743589743,0.9870129870129869,39.0
18,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
19,1.0,0.5,0.6666666666666666,20.0
accuracy,0.8453333333333334,0.8453333333333334,0.8453333333333334,0.8453333333333334
macro avg,0.8512014988369376,0.8326173947949516,0.8357297568203286,750.0
weighted avg,0.8499745907472088,0.8453333333333334,0.8435568393291061,750.0
